[Error  - 06:58:12.484] Getting token failed: Error: Unknown or unsupported transport “disabled” for address “disabled:”
[Info  - 06:04:47.590] Logging in...
[Info  - 06:07:44.709] Logging in...
[Info  - 12:49:01.367] Logging in...
[Info  - 17:39:09.890] Logging in...
[Info  - 17:39:17.933] Treating input as token
[Info  - 17:11:09.87] Logging in...
[Info  - 17:24:19.396] Logging in...
[Info  - 18:28:27.132] Logging in...
[Info  - 19:21:36.636] Logging in...
